method,turn,n_sessions,state_latency_mean,state_latency_std,compressed_latency_mean,compressed_latency_std,state_ppl_mean,state_ppl_std,compressed_ppl_mean,compressed_ppl_std,original_size_kb_mean,original_size_kb_std,compressed_size_kb_mean,compressed_size_kb_std,ppl_delta,latency_delta,latency_speedup,compression_ratio
ae_2048_quan_8,6,142,0.7794150311932703,0.7445934887809758,1.827950372944363,0.6813307331237988,32.21253917871737,32.12553739845241,124.16714811174889,229.458361980132,19106.0283203125,0.0,2.0,0.0,91.95460893303152,1.0485353417510925,0.4263874133179179,9553.01416015625
ae_2048_quan_8,7,161,0.6600000885407793,0.6949771700496822,1.7851044516663375,0.6995221574702014,36.9113942262532,41.039001546744004,356.3100057148934,2397.0921340589694,19106.0283203125,0.0,2.0,0.0,319.3986114886402,1.1251043631255582,0.36972631373177656,9553.01416015625
ae_2048_quan_8,8,142,0.8357389599255378,0.7893642794016148,1.8922477160698512,0.7021763498038561,41.47067799079565,49.357546285489526,185.01061622401994,321.2846278164895,19106.0283203125,0.0,2.0,0.0,143.5399382332243,1.0565087561443134,0.4416646683349396,9553.01416015625
ae_2048_quan_8,9,100,0.6362950059492141,0.643771413389356,1.7509284897241741,0.6547881006541878,42.65884939754477,47.7488516497942,163.981415477189,209.92504701230592,19106.0283203125,0.0,2.0,0.0,121.32256607964422,1.11463348377496,0.36340433643263775,9553.01416015625
ae_2048_quan_8,10,130,0.7935248619267861,0.7638178806358059,1.8698313063297134,0.6819096749885554,46.407470779295856,70.8461753544688,530.7613321455941,2995.060408532562,19106.0283203125,0.0,2.0,0.0,484.35386136629825,1.0763064444029273,0.4243831297724894,9553.01416015625
ae_2048_quan_8,11,72,0.6284532091813162,0.7031291085097651,1.762678733211942,0.7280884825299636,43.27570431831941,49.336556495378304,1824.7732338775584,13916.86064570331,19106.0283203125,0.0,2.0,0.0,1781.497529559239,1.1342255240306258,0.35653304106991335,9553.01416015625
ae_2048_quan_8,12,115,0.7721831520249987,0.7961452617231465,1.813399514466848,0.7391767549879513,44.0262828372421,44.646241129585825,255.33360346893437,335.6196696221146,19106.0283203125,0.0,2.0,0.0,211.30732063169228,1.0412163624418493,0.4258207559143556,9553.01416015625
ae_2048_quan_8,13,46,0.7140912586600399,0.9337679920942039,1.7941553643904626,0.7116054465792298,39.52023627197952,43.47371777148403,193.6717227184454,228.70581270371352,19106.0283203125,0.0,2.0,0.0,154.1514864464659,1.0800641057304228,0.39800971132878543,9553.01416015625
ae_2048_quan_8,14,96,0.8482019915924562,0.9414175371007956,1.9174314098102816,0.824669443327516,49.651586103691336,52.54080820928419,406.7979788226971,830.7121965450422,19106.0283203125,0.0,2.0,0.0,357.14639271900575,1.0692294182178252,0.4423636680054077,9553.01416015625
ae_2048_quan_8,15,27,0.6473655293488668,0.6920104656102459,1.7948949284230669,1.1031801900025242,34.51147999198191,35.34973540377683,232.35036034255822,294.4116442084313,19106.0283203125,0.0,2.0,0.0,197.83888035057632,1.1475293990742,0.36067043206680627,9553.01416015625
ae_2048_quan_8,16,78,0.8284645607300962,0.8934025003855035,1.9196217083849778,0.8168616002180455,52.91850294417319,50.207222265957185,534.1369946071388,797.2014583851527,19106.0283203125,0.0,2.0,0.0,481.2184916629656,1.0911571476548816,0.4315769909828237,9553.01416015625
